business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Medium,High,Sensitive,3401769,4126435,no,14415
Small,Low,Sensitive,1014717,14681419,no,9734
Medium,Low,Sensitive,2791197,14176055,no,11651
Large,Medium,Sensitive,2523944,14936063,yes,7457
Small,High,Non-sensitive,4806749,15025635,no,4249
Small,Medium,Non-sensitive,762153,8070293,yes,5022
Small,High,Non-sensitive,3629583,4552861,yes,7986
Large,High,Non-sensitive,3545593,10056551,yes,8164
Small,Low,Sensitive,161393,2439756,yes,10207
Large,Low,Sensitive,2911238,3678764,no,4586
Medium,High,Sensitive,4309004,11309978,no,4552
Small,Low,Sensitive,2467046,11390228,no,5856
Large,High,Sensitive,3008283,4372403,no,4675
Medium,Medium,Sensitive,4969065,10620669,no,11695
Small,Low,Non-sensitive,1404733,5041042,yes,7396
Medium,High,Non-sensitive,4016276,19071371,no,9514
Medium,High,Sensitive,4090418,9395696,yes,3558
Medium,Low,Non-sensitive,2996669,13893647,yes,14757
Medium,High,Sensitive,4520386,2166054,yes,12875
Large,Medium,Sensitive,1007009,11250460,yes,4377
Large,Low,Non-sensitive,152525,16230952,yes,14169
Large,Low,Non-sensitive,1183424,16582489,yes,5007
Medium,High,Sensitive,1722327,8461190,no,9977
Large,Low,Non-sensitive,132955,15236010,yes,11047
Large,High,Non-sensitive,1168165,14718090,yes,3203
Medium,High,Sensitive,3186903,1135585,no,5053
Small,Low,Sensitive,3570272,7598871,yes,13109
Large,High,Non-sensitive,3673173,11815266,no,3229
Medium,Medium,Non-sensitive,820513,12928711,yes,12562
Large,Medium,Non-sensitive,593444,17620725,yes,7928
Small,High,Sensitive,3455716,4309782,yes,8340
Small,Medium,Sensitive,1503681,7139208,no,13744
Large,Medium,Sensitive,1505939,9719545,yes,12228
Small,Medium,Sensitive,4729643,3758563,no,6883
Large,High,Non-sensitive,282347,14873803,no,6447
Small,Low,Sensitive,1542664,6582291,yes,11052
Large,Low,Non-sensitive,742812,7622649,yes,8948
Small,High,Sensitive,1379390,13428025,yes,6876
Small,Low,Sensitive,4853469,10949745,yes,11057
Large,Low,Non-sensitive,4575133,14888149,yes,3011
Large,Low,Sensitive,3124852,16734322,no,12268
Large,Medium,Sensitive,1355023,3142821,yes,10382
Medium,High,Non-sensitive,1873175,18692370,no,10134
Medium,Medium,Sensitive,1241757,19196603,yes,3901
Medium,Medium,Non-sensitive,1495105,10481125,no,13930
Large,High,Non-sensitive,3148252,10901185,yes,11436
Large,High,Sensitive,1360131,4958855,no,5309
Large,Low,Non-sensitive,782655,2672193,yes,14873
Large,Medium,Sensitive,1728479,11789156,no,4380
Large,Medium,Non-sensitive,691481,4971604,no,11628
Large,Medium,Non-sensitive,4082718,16770821,no,10787
Small,Low,Sensitive,1781012,15349454,no,5800
Large,High,Sensitive,2863822,9096973,no,6217
Large,Low,Sensitive,989259,5247910,yes,12944
Medium,Low,Non-sensitive,4146173,4418938,yes,4441
Medium,Low,Non-sensitive,1736816,14176682,yes,5434
Small,High,Sensitive,3455970,16086242,no,8182
Small,Low,Non-sensitive,3879713,7356771,yes,13728
Medium,Medium,Non-sensitive,2472100,13188104,yes,12881
Large,Low,Non-sensitive,1558611,6891353,no,5464
Medium,Low,Sensitive,4092708,14656199,no,3865
Small,Medium,Sensitive,4818438,2886585,yes,13248
Large,Medium,Sensitive,378110,13790883,yes,4768
Small,Low,Non-sensitive,2065360,13853234,no,4149
Small,Medium,Non-sensitive,2677162,16403853,no,7058
Small,Medium,Non-sensitive,3805559,15938886,yes,14431
Small,Medium,Sensitive,2530353,18275143,yes,8006
Medium,High,Non-sensitive,1968916,10573900,no,14416
Medium,Low,Sensitive,2941276,10301283,no,5998
Small,High,Sensitive,506615,18738950,no,12434
Medium,Low,Sensitive,191607,6878285,no,10359
Medium,Medium,Non-sensitive,1025778,10837811,no,5094
Medium,Low,Sensitive,4684391,5148580,yes,8990
Small,Low,Sensitive,1479781,15733291,yes,8006
Large,High,Non-sensitive,3465753,15648874,yes,12329
Large,High,Non-sensitive,4963077,6739854,yes,10699
Small,High,Non-sensitive,2250873,16946157,no,8543
Large,High,Non-sensitive,3926134,5143194,yes,10827
Medium,Low,Non-sensitive,127049,19005688,yes,5694
Medium,High,Non-sensitive,2464023,11515614,no,13639
Medium,Medium,Sensitive,341067,6255614,no,3329
Small,Low,Sensitive,3585986,12498793,no,7144
Large,High,Sensitive,3710316,10954627,yes,11309
Large,Low,Non-sensitive,2557856,16615121,no,14788
Small,Medium,Non-sensitive,4824200,1194064,yes,6227
Medium,Low,Non-sensitive,4086836,3196558,yes,4050
Large,Medium,Non-sensitive,1854757,5478433,yes,3362
Large,High,Sensitive,3896830,16311557,no,11687
Large,Medium,Sensitive,4730373,13878477,yes,9665
Large,Medium,Sensitive,4058171,4558995,yes,13945
Large,Medium,Non-sensitive,514471,10729880,yes,13354
Small,Medium,Non-sensitive,2470145,15547287,yes,13357
Large,Medium,Non-sensitive,4759249,11118960,yes,6628
Medium,Low,Non-sensitive,957546,6854991,yes,14839
Large,High,Non-sensitive,4292650,17822029,yes,10098
Small,High,Sensitive,1188559,2849213,yes,4859
Large,High,Sensitive,2644885,2338259,no,4068
Small,Medium,Sensitive,2044719,7442734,no,6460
Small,Low,Non-sensitive,2234211,14414076,no,13823
Small,High,Sensitive,2385818,7699790,yes,13894
Medium,Low,Non-sensitive,630238,4284787,no,10436
Medium,Low,Sensitive,3905884,2982247,yes,4895
Medium,Low,Non-sensitive,4330332,7271090,no,5359
Small,Low,Sensitive,3882803,8553367,yes,7388
Small,Low,Non-sensitive,3973529,19989751,no,10767
Small,Low,Sensitive,3699696,11446066,no,14754
Medium,Low,Sensitive,4008400,7200686,no,7338
Small,Low,Non-sensitive,281191,5991912,no,12201
Medium,Medium,Non-sensitive,668990,3503985,yes,10331
Small,Medium,Non-sensitive,2910245,8130125,no,8264
Small,Low,Non-sensitive,2867986,15395026,yes,12801
Medium,Medium,Non-sensitive,694545,12046057,yes,3732
Medium,High,Non-sensitive,3489146,5307993,yes,5374
Small,Low,Non-sensitive,1235757,3361965,yes,5443
Large,Medium,Sensitive,3920542,14179680,no,12834
Medium,Medium,Non-sensitive,4183615,11045079,no,8509
Small,Medium,Sensitive,3523091,6032142,yes,4772
Medium,High,Non-sensitive,1769957,11974917,yes,10633
Medium,Low,Non-sensitive,1568879,7165765,no,5210
Medium,High,Non-sensitive,4655098,3611619,yes,12219
Medium,Medium,Non-sensitive,136117,8757424,no,14384
Large,Low,Non-sensitive,3557434,16507321,yes,3270
Large,Low,Sensitive,3169542,15834409,no,12363
Large,Low,Sensitive,435735,19159964,no,6328
Large,High,Sensitive,362597,2492098,no,11917
Medium,Low,Sensitive,2215257,1557231,yes,3763
Medium,Medium,Non-sensitive,3861823,1066853,yes,10298
Medium,Medium,Sensitive,4964675,14072385,yes,5371
Medium,High,Non-sensitive,2897507,4052454,no,5211
Medium,Medium,Sensitive,4576693,11298775,no,5160
Large,High,Sensitive,4542806,8464887,yes,10985
Large,Medium,Sensitive,4115868,12476844,yes,4835
Medium,Medium,Non-sensitive,974903,6240618,yes,8167
Medium,Medium,Sensitive,3752929,1302474,yes,7842
Small,High,Sensitive,319833,16137936,no,11301
Small,High,Sensitive,268948,1303148,no,8553
Small,Medium,Non-sensitive,3797750,19714780,no,4197
Medium,Low,Sensitive,2723566,11890781,yes,5652
Large,Medium,Sensitive,4863259,16033831,no,6834
Medium,High,Non-sensitive,473098,8828496,yes,9173
Medium,Medium,Sensitive,4157890,12649217,yes,7957
Medium,Medium,Sensitive,2918134,11115505,yes,12964
Small,Medium,Sensitive,965415,1314453,no,8863
Medium,Medium,Non-sensitive,3958261,17572556,yes,14410
Large,Low,Sensitive,3759882,17171757,no,7455
Large,High,Sensitive,2718001,2693976,no,6233
Medium,Low,Sensitive,3420180,3013174,no,9381
Medium,Low,Sensitive,3430149,10018602,no,14624
Medium,Low,Non-sensitive,293152,13105996,no,8532
Large,Medium,Non-sensitive,2034597,5974911,no,12960
Medium,Medium,Non-sensitive,562158,9353461,no,13715
Small,Medium,Sensitive,4617289,5329750,yes,14987
Small,Medium,Non-sensitive,1614609,2019401,yes,8777
Small,High,Non-sensitive,4073993,13826839,yes,7084
Medium,Low,Sensitive,1007743,17782305,yes,9867
Medium,High,Sensitive,4571878,10444441,yes,10759
Large,Medium,Sensitive,245467,7673713,no,3953
Small,Medium,Sensitive,3674456,9070787,no,8750
Large,Medium,Non-sensitive,3711211,7295021,no,12967
Small,Low,Sensitive,1928841,6222845,yes,7606
Large,Low,Sensitive,3516985,5526742,yes,11286
Large,Low,Non-sensitive,2830860,4156196,yes,6191
Medium,High,Sensitive,3617779,16130216,no,9959
Medium,Low,Sensitive,2081836,1585470,no,7029
Large,High,Sensitive,3569595,1895113,no,11368
Medium,High,Sensitive,4643090,18267512,yes,7983
Small,High,Sensitive,1249363,3675903,yes,4295
Large,High,Non-sensitive,1477688,13285071,no,14796
Small,Low,Non-sensitive,1447534,12443641,no,8796
Large,High,Sensitive,3583366,12598581,yes,14568
Medium,Low,Non-sensitive,540520,14321589,no,3558
Medium,High,Sensitive,3205458,17131113,yes,7296
Large,High,Non-sensitive,2967762,17525729,yes,3153
Small,Low,Sensitive,4228816,7320982,yes,3982
Large,Medium,Non-sensitive,3609756,8351023,yes,14554
Small,Low,Non-sensitive,3215461,1853391,yes,11221
Medium,High,Sensitive,2042343,13271881,no,6013
Medium,Medium,Sensitive,885175,15221124,yes,10410
Medium,Low,Sensitive,2413664,2049036,no,12590
Small,High,Sensitive,2589800,6159304,no,13136
Medium,High,Non-sensitive,426505,7222586,no,5460
Small,High,Non-sensitive,2026269,6792877,no,13676
Large,Medium,Sensitive,3286482,11837545,yes,10230
Large,Low,Non-sensitive,4947815,2821056,no,13014
Medium,Low,Sensitive,2050108,12357616,yes,7863
Large,Medium,Non-sensitive,4853342,10933559,yes,8759
Large,Medium,Non-sensitive,4270068,18997889,no,14232
Medium,Low,Sensitive,596943,9339894,yes,6673
Medium,Low,Non-sensitive,276732,12225627,yes,3774
Medium,Low,Sensitive,3881945,16077960,yes,8839
Small,Low,Sensitive,3282921,7186971,no,12816
Large,Medium,Non-sensitive,1694533,14624893,no,13325
Medium,Medium,Non-sensitive,3697716,17039776,no,5073
Medium,Medium,Sensitive,2252088,8012643,yes,13479
Medium,Medium,Non-sensitive,1129934,9116725,no,10156
Large,Low,Sensitive,4697155,1709151,yes,12959
Large,Low,Non-sensitive,3241350,8688866,yes,3492
Large,High,Non-sensitive,4545397,6445214,yes,14225
Medium,High,Sensitive,1824369,10300755,no,9835
Medium,Medium,Sensitive,1400907,3107988,yes,6930
Large,Medium,Sensitive,1710069,1993236,yes,11633
Small,Low,Sensitive,4775647,1638571,yes,10097
Medium,Medium,Sensitive,1862546,11794170,no,6534
Medium,Low,Non-sensitive,4501022,10022904,yes,14851
Small,Low,Sensitive,1146483,10558690,no,3176
Large,Medium,Sensitive,910918,18614260,no,12724
Medium,Low,Sensitive,4628655,10486881,no,7972
Medium,Medium,Sensitive,4296212,7024807,no,5400
Medium,Low,Non-sensitive,4666510,6979827,no,4547
Large,High,Non-sensitive,472212,12179506,yes,9995
Medium,Medium,Non-sensitive,2796691,15720998,no,5830
Small,Low,Non-sensitive,4906256,10626540,no,6359
Large,Medium,Non-sensitive,2711638,19628496,no,3897
Large,High,Sensitive,1118807,17189079,no,5665
Small,Medium,Sensitive,3554763,9313985,yes,4535
Large,Medium,Non-sensitive,868367,8566401,no,14805
Large,High,Non-sensitive,812653,19264297,yes,8760
Small,Low,Non-sensitive,3002736,13105294,no,12475
Medium,Low,Sensitive,2846844,18937144,no,5348
Medium,High,Non-sensitive,4229098,3623902,no,8036
Medium,Low,Sensitive,419552,8736832,yes,10286
Large,High,Sensitive,1009701,9081411,yes,7797
Large,High,Non-sensitive,2087538,3147247,no,9388
Small,Medium,Sensitive,303662,15086891,yes,14457
Small,High,Sensitive,4661655,14482983,yes,6536
Medium,Medium,Sensitive,3458245,14406465,no,11443
Small,Medium,Sensitive,2704959,2384545,yes,5475
Medium,Low,Sensitive,2096812,19316144,no,12000
Small,Medium,Sensitive,646506,13625210,yes,11941
Medium,High,Non-sensitive,4544442,11647055,no,13173
Medium,Medium,Non-sensitive,756681,8894794,no,12494
Medium,High,Non-sensitive,2974681,14627844,no,10819
Large,Medium,Non-sensitive,4019697,12714616,yes,7068
Medium,Low,Non-sensitive,3029825,15862685,no,4157
Small,Medium,Sensitive,466256,1925102,yes,11442
Large,Medium,Sensitive,334478,17260145,yes,9526
Small,Low,Non-sensitive,431476,6533495,no,10185
Large,Medium,Sensitive,2569768,15604514,no,9008
Large,Low,Non-sensitive,3152036,1977132,no,8486
Small,High,Non-sensitive,792024,11573261,no,14418
Small,Medium,Sensitive,121680,17169588,no,7142
Large,Medium,Sensitive,196381,7547462,no,9493
Small,Medium,Sensitive,1933265,16938854,yes,9886
Large,Medium,Sensitive,2022965,8724481,no,12485
Large,High,Sensitive,359587,7587478,yes,13892
Small,High,Sensitive,1946335,8493509,no,13268
Medium,Medium,Non-sensitive,1165584,19243218,yes,13964
Small,Low,Sensitive,3111116,10150658,yes,13622
Medium,High,Sensitive,3617960,1067218,no,4412
Large,Medium,Non-sensitive,3623563,18709264,yes,12131
Medium,Medium,Sensitive,4516597,9293969,no,12921
Large,High,Non-sensitive,2147461,4059039,yes,14913
Large,Low,Non-sensitive,4949394,18847684,no,12843
Large,Low,Sensitive,404124,1829382,yes,12606
Large,High,Sensitive,1906964,19658934,yes,14911
Small,Low,Non-sensitive,1825735,1048567,yes,6367
Large,Medium,Non-sensitive,475008,4369364,no,10923
Medium,High,Sensitive,4537842,3192243,no,8573
Medium,Low,Sensitive,2566240,6117856,no,11179
Large,High,Sensitive,1470895,5286066,yes,14862
Small,Low,Sensitive,4819603,9519064,no,14637
Medium,Medium,Non-sensitive,2355831,1708882,yes,6046
Medium,Medium,Non-sensitive,974933,17981721,no,14272
Large,High,Non-sensitive,2209119,16434431,yes,7936
Small,Low,Sensitive,960748,16672220,no,11405
Medium,Medium,Sensitive,3020001,16370125,no,5255
Large,Low,Sensitive,4788906,10021341,no,7591
Large,Low,Sensitive,4205297,17290027,no,8807
Medium,High,Sensitive,581565,6127739,yes,9337
Medium,Low,Sensitive,1525469,15578259,yes,9716
Small,High,Sensitive,1935483,9280119,no,11386
Small,Medium,Non-sensitive,1657429,13054500,yes,8977
Medium,Low,Sensitive,2694761,2415585,yes,8335
Small,Medium,Sensitive,2019139,6353605,no,3414
Large,High,Non-sensitive,3251540,15541696,yes,4948
Medium,High,Non-sensitive,4301607,7206311,no,13277
Small,Low,Sensitive,924449,17124881,no,12984
Medium,Medium,Non-sensitive,4337213,2743932,yes,6099
Small,Medium,Sensitive,485780,15532644,yes,3616
Medium,Medium,Non-sensitive,1091944,2952680,yes,6491
Medium,Low,Non-sensitive,2294489,9672262,no,14512
Medium,Low,Non-sensitive,3685497,3212949,no,8269
Small,High,Non-sensitive,1545704,17390197,yes,13388
Medium,Low,Non-sensitive,1013168,6977574,yes,11267
Small,High,Non-sensitive,4376871,15353409,no,8012
Small,Medium,Non-sensitive,2376225,1848346,yes,4058
Medium,Medium,Sensitive,2613049,11655922,no,5841
Small,High,Non-sensitive,4029374,12042812,yes,7415
Medium,Low,Non-sensitive,1199520,11811907,no,7371
Medium,Low,Non-sensitive,2840282,16038128,yes,11911
Medium,High,Non-sensitive,4630200,3476208,yes,5732
Large,Low,Non-sensitive,806634,8280177,no,3152
Medium,High,Non-sensitive,596753,13307306,no,13764
Medium,Medium,Non-sensitive,1311477,6334062,no,3039
Medium,High,Non-sensitive,843622,5246699,no,7037
Medium,Medium,Sensitive,3516835,5379016,no,14247
Large,High,Sensitive,741608,7511175,yes,10047
Small,Medium,Non-sensitive,3784497,10269045,yes,12426
Medium,Low,Non-sensitive,2412821,15338863,yes,5301
Small,High,Non-sensitive,4169930,5750301,no,4044
Medium,High,Non-sensitive,4331454,3076978,yes,13733
Medium,Medium,Sensitive,2105169,8495992,no,12564
Medium,High,Sensitive,1263784,9659699,no,13649
Large,High,Non-sensitive,2706090,2495989,yes,4702
Large,High,Non-sensitive,2477426,3456195,no,5176
Medium,High,Sensitive,1816816,12851503,yes,5102
Large,Low,Non-sensitive,686901,17902999,no,6889
Small,High,Sensitive,4934923,5478288,no,11225
Medium,Low,Sensitive,1199993,9255834,no,9875
Large,High,Non-sensitive,3071615,12921983,no,6132
Large,High,Sensitive,1339883,3226645,no,3833
Medium,Low,Non-sensitive,2205076,10720193,yes,9956
Large,Medium,Sensitive,3275783,9994012,yes,11625
Large,Medium,Non-sensitive,2846585,6962630,no,13081
Medium,High,Sensitive,1728087,18725280,yes,5388
Medium,High,Sensitive,2040696,18328287,no,7895
Large,High,Sensitive,4863599,2548478,yes,3531
Medium,Medium,Non-sensitive,4011327,3715425,no,13544
Large,Low,Non-sensitive,875125,5308121,no,14108
Small,Low,Sensitive,3467172,16741207,no,5983
Large,Medium,Non-sensitive,604902,4982627,no,5918
Medium,Low,Sensitive,65992,11730441,yes,5086
Large,High,Non-sensitive,2781971,7150782,no,3200
Medium,Medium,Non-sensitive,1050231,19937229,no,14406
Large,Low,Sensitive,948266,17150659,yes,13768
Large,Medium,Sensitive,1679214,17216883,yes,5978
Small,High,Non-sensitive,200642,6936120,no,11505
Large,Low,Sensitive,3121432,2037697,no,14617
Medium,Low,Non-sensitive,1171884,13141624,no,10074
Large,Medium,Sensitive,1390738,1915905,yes,7115
Large,High,Non-sensitive,3554316,15384708,yes,3062
Small,Medium,Non-sensitive,2314445,15706579,yes,11791
Small,High,Sensitive,4482396,7318112,no,8042
Large,Medium,Non-sensitive,4901576,15513652,yes,13438
Large,Low,Sensitive,2265629,16214539,no,12440
Small,High,Non-sensitive,957707,17740288,no,4255
Small,High,Sensitive,3272685,5218228,yes,14798
Small,Medium,Sensitive,2005379,3964761,no,13149
Medium,Low,Sensitive,2475872,15578539,yes,13682
Medium,High,Non-sensitive,3181386,17823703,yes,6409
Large,Medium,Sensitive,1355564,7258299,no,12263
Small,Low,Non-sensitive,3963484,16927382,yes,11061
Medium,High,Sensitive,4768607,11558430,yes,3188
Medium,High,Sensitive,4557566,1437936,yes,8770
Small,Medium,Non-sensitive,4316028,9138029,no,5051
Large,Medium,Sensitive,1736971,3031345,no,4276
Small,High,Sensitive,739334,15283904,yes,12823
Large,High,Sensitive,1952207,17241608,yes,3786
Medium,Low,Sensitive,1129680,3625279,yes,12917
Small,High,Non-sensitive,379856,7664016,no,11319
Small,High,Non-sensitive,3585375,10893976,no,4443
Medium,Low,Non-sensitive,2944554,14584293,no,8271
Medium,Medium,Non-sensitive,1612108,15655033,yes,9863
Large,Low,Sensitive,765026,8759795,no,7595
Medium,Low,Non-sensitive,3658674,18284761,yes,8719
Small,Medium,Non-sensitive,1487299,12813892,no,3784
Medium,High,Sensitive,820102,15752843,yes,5188
Small,Medium,Non-sensitive,4275606,19730248,no,13710
Large,High,Sensitive,3679231,6489336,yes,10280
Medium,High,Non-sensitive,1142571,2885419,yes,5524
Large,Medium,Non-sensitive,532491,6181066,no,10816
Large,Medium,Sensitive,700192,2098925,no,12895
Medium,Low,Non-sensitive,2270502,3411945,no,13217
Large,Medium,Sensitive,4739993,2206511,yes,6346
Medium,High,Non-sensitive,3212523,4172076,no,4231
Small,Medium,Sensitive,3049337,8892283,no,5748
Small,High,Non-sensitive,1821169,12330452,yes,3415
Medium,High,Sensitive,4538760,3303875,yes,10755
Medium,Low,Non-sensitive,3368107,15959377,yes,12827
Small,Medium,Sensitive,2376743,18134296,no,8699
Large,Low,Non-sensitive,3234594,14378520,yes,4770
Medium,Medium,Sensitive,2916984,6477081,no,11539
Small,Medium,Sensitive,3385330,16983611,yes,5374
Small,Medium,Non-sensitive,2678366,16485836,no,4561
Medium,Low,Sensitive,228759,7677240,no,10132
Medium,High,Non-sensitive,4627642,17373409,no,13889
Large,Low,Sensitive,4265013,12240646,no,13522
Medium,Medium,Sensitive,72045,18627128,no,13726
Medium,Low,Sensitive,236935,11764763,no,5479
Small,Low,Sensitive,2956496,14576472,no,11898
Medium,High,Non-sensitive,4409780,11977891,no,10051
Medium,High,Non-sensitive,293761,2434171,yes,14020
Small,Low,Sensitive,727565,15998955,no,10706
Medium,Low,Sensitive,3931423,4143810,yes,14733
Large,Medium,Sensitive,2429855,10245883,no,12032
Large,Low,Sensitive,1948004,5157498,no,14444
Small,Low,Sensitive,4819084,13071923,yes,11573
Medium,Low,Non-sensitive,4610786,2014011,yes,12107
Medium,Low,Non-sensitive,216231,7981169,no,12098
Medium,High,Sensitive,3488743,2659185,no,4065
Medium,Medium,Non-sensitive,1928926,8144225,no,9314
Medium,High,Non-sensitive,4281075,2890231,no,7411
Large,Medium,Non-sensitive,2632630,1054126,yes,14273
Large,High,Non-sensitive,484890,18950240,yes,3029
Small,Low,Non-sensitive,1982039,17577921,no,6673
Small,High,Sensitive,3556894,19951908,no,9680
Medium,High,Non-sensitive,1860283,4105567,no,5587
Medium,High,Sensitive,353561,14470584,yes,12017
Large,Low,Sensitive,3852242,4521946,no,7786
Medium,Low,Sensitive,4487385,1523834,no,14877
Medium,High,Sensitive,1402588,14274597,no,14968
Medium,Low,Non-sensitive,4435821,18237385,yes,8982
Large,High,Non-sensitive,1669445,15858426,yes,9615
Small,Medium,Non-sensitive,4127654,7148914,no,14167
Medium,Low,Non-sensitive,3969377,6982902,yes,5819
Medium,High,Non-sensitive,323104,19442745,yes,3327
Small,Low,Non-sensitive,1980368,14213242,yes,9941
Large,Medium,Non-sensitive,1485027,13973380,no,4202
Large,Low,Sensitive,3864876,14048666,yes,6916
Small,High,Non-sensitive,820763,4422306,no,11669
Large,Low,Sensitive,402275,13559197,no,7548
Medium,Medium,Non-sensitive,2090125,11205991,no,14589
Small,Low,Sensitive,3906193,13244196,yes,14767
Large,Low,Sensitive,2270455,17081852,yes,10773
Medium,Low,Sensitive,565281,6005094,yes,6843
Medium,Medium,Non-sensitive,532925,4511595,no,6668
Small,Medium,Non-sensitive,4883415,1172360,yes,14492
Large,Medium,Non-sensitive,4996455,12042863,no,5564
Medium,High,Sensitive,2583874,7935964,yes,8137
Small,Low,Sensitive,4848807,14168497,no,8342
Small,Medium,Sensitive,4494540,3796659,no,9168
Large,High,Non-sensitive,1270192,13892469,yes,14318
Large,Medium,Non-sensitive,2476523,12941605,no,9055
Large,Low,Non-sensitive,1554670,15710975,no,7982
Medium,Medium,Sensitive,2230331,4253290,no,9054
Large,Medium,Non-sensitive,2828587,9089840,yes,8608
Medium,High,Non-sensitive,2256829,11435654,no,5808
Small,High,Non-sensitive,2425594,1598491,no,5179
Large,Medium,Non-sensitive,4611849,18241434,no,11979
Medium,High,Sensitive,3978087,12040526,yes,4999
Large,Low,Sensitive,4667476,19762858,yes,13246
Small,High,Non-sensitive,501578,10933735,yes,11557
Medium,Low,Sensitive,2801491,15566335,no,11203
Small,Low,Sensitive,4960301,4746906,no,7585
Small,High,Sensitive,353346,5487947,yes,8842
Medium,High,Sensitive,621856,13087045,no,6342
Large,Medium,Non-sensitive,2137202,4332829,no,4498
Small,Medium,Sensitive,3044858,16246206,yes,11340
Small,High,Non-sensitive,3397173,1451228,yes,5931
Small,Low,Sensitive,1134536,9780157,no,3431
Large,Medium,Sensitive,3438879,4045855,yes,7205
Large,Low,Non-sensitive,444697,14529074,yes,14230
Medium,High,Sensitive,1156310,11701464,yes,8644
Medium,Low,Sensitive,1608679,1504615,yes,7816
Small,Medium,Sensitive,4206651,14941367,yes,9028
Large,High,Sensitive,2770045,5465874,yes,6918
Medium,Low,Sensitive,4166515,13343401,yes,10214
Medium,High,Sensitive,1094187,14541247,no,10170
Small,High,Non-sensitive,2240987,1870289,yes,14859
Large,Medium,Non-sensitive,414635,5675646,yes,11378
Large,Medium,Sensitive,4436006,11132874,yes,5385
Medium,Low,Sensitive,4943742,12681874,no,8028
Small,Low,Sensitive,4681852,7672644,yes,10758
Small,Medium,Sensitive,442867,14862069,yes,7241
Small,Medium,Sensitive,1599172,8099239,yes,3505
Small,High,Sensitive,1754537,13043479,yes,10134
Small,Medium,Non-sensitive,1071363,19017261,no,3282
Medium,High,Non-sensitive,556794,10762195,yes,10001
Small,Medium,Sensitive,4371272,13808894,yes,8963
Medium,Medium,Sensitive,574881,15635332,yes,4001
Medium,High,Non-sensitive,815963,7792836,no,14137
Medium,Medium,Non-sensitive,1909968,16481639,yes,3752
Small,High,Non-sensitive,605796,5062564,no,5570
Small,Medium,Non-sensitive,1060362,1038044,yes,6619
Large,High,Non-sensitive,1702943,6671179,no,5906
Large,High,Sensitive,2850886,3371415,yes,3096
Medium,Medium,Non-sensitive,3238131,4090969,no,5629
Medium,Medium,Sensitive,3118011,6261617,yes,7328
Large,Low,Non-sensitive,2683600,9786770,no,4820
Medium,Low,Non-sensitive,4028709,3326380,yes,14527
Large,Low,Non-sensitive,300430,14740243,no,8878
Large,High,Sensitive,3692797,10657483,no,6784
Large,Medium,Non-sensitive,4993858,5334645,no,13009
Medium,Medium,Non-sensitive,3281676,16255120,no,4250
Medium,Medium,Non-sensitive,324399,15679281,yes,10986
Small,High,Sensitive,3677602,4482715,yes,12148
Medium,Low,Sensitive,4643983,19343855,no,12290
Large,Low,Sensitive,2412759,10983748,yes,4705
Large,High,Non-sensitive,1797970,7555022,yes,13047
Medium,Low,Non-sensitive,955660,17743387,yes,9585
Small,Medium,Sensitive,1847189,17794217,no,8593
Large,Medium,Sensitive,871561,9906622,no,6574
Small,High,Non-sensitive,1150149,6105843,yes,11929
Large,High,Non-sensitive,622050,3340770,no,14923
Medium,Medium,Sensitive,1628176,16288215,yes,4630
Large,High,Non-sensitive,3852708,2649682,no,12405
Small,High,Sensitive,512483,7577398,yes,10183
Medium,High,Non-sensitive,1039363,9000180,no,3090
Small,Low,Non-sensitive,629477,1037191,no,12650
Large,Low,Non-sensitive,3330109,13964979,yes,13380
Large,High,Non-sensitive,1343366,10238736,yes,9149
Large,High,Sensitive,1561196,12655281,no,8835
Large,High,Non-sensitive,4301474,11063482,yes,3403
Small,High,Non-sensitive,2137154,5651016,no,10155
Small,Low,Non-sensitive,1485375,4721442,no,4160
Small,Medium,Non-sensitive,4609657,19220809,no,4493
Large,Medium,Non-sensitive,3054858,13719008,yes,3066
Medium,High,Sensitive,4996214,18583305,no,13566
Medium,Medium,Non-sensitive,454176,17352149,yes,9581
Medium,Low,Sensitive,4186965,15836057,yes,13556
Small,Low,Sensitive,1532114,13405424,no,8249
Large,Low,Sensitive,1835716,6441785,yes,12765
Medium,Low,Non-sensitive,3578228,11106105,no,8088
Small,Medium,Non-sensitive,4112168,14488027,yes,12951
Large,Low,Sensitive,587929,9467282,no,4408
Small,Medium,Non-sensitive,4589012,15150816,no,11615
Large,High,Non-sensitive,2347882,18728003,no,5802
Large,Low,Non-sensitive,4303282,7790291,yes,9301
Large,Medium,Sensitive,4715061,6562565,yes,5076
Medium,High,Non-sensitive,4474510,17976112,yes,12835
Medium,Medium,Non-sensitive,4652861,3805820,no,9035
Small,Medium,Sensitive,229834,8639605,no,3794
Medium,Low,Sensitive,397409,16405311,no,6431
Small,High,Sensitive,3619061,18697946,yes,14598
Large,Low,Non-sensitive,2481765,14849427,yes,4455
Large,Low,Sensitive,244499,9097971,yes,4095
Large,Low,Non-sensitive,1705765,10487965,yes,8798
Large,Low,Non-sensitive,1165118,4947305,no,6079
Small,Medium,Non-sensitive,3090310,1678787,yes,4079
Large,High,Non-sensitive,2265299,6466651,no,8431
Small,Medium,Sensitive,955680,3782508,yes,4582
Large,High,Non-sensitive,1079081,3117133,yes,10152
Medium,Low,Sensitive,2460795,14540100,yes,6319
